/stvr/probabilistic-coupling-experiment/datacollection
Archive:  mockito.zip
   creating: mockito/35b/
  inflating: mockito/35b/tests.out   
  inflating: mockito/35b/jaguar.out  
   creating: mockito/35b/jaguar/
  inflating: mockito/35b/jaguar/assert_duas.out  
  inflating: mockito/35b/jaguar/badua_report.xml  
   creating: mockito/35b/jaguar/.jaguar/
   creating: mockito/35b/jaguar/.jaguar/spectra/
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.util.StringJoiner.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.invocation.InvocationsFinder.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.invocation.ArgumentsComparator.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.CapturingMatcher.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.Times.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.exceptions.base.ConditionalStackTraceFilter.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.stubbing.defaultanswers.ReturnsMocks.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.Equals.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.creation.ClassNameFinder.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.invocation.InvocationMarker.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.InOrderImpl.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.Or.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.util.ListUtil.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.stubbing.answers.Returns.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.debugging.Location.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.EqualsWithDelta.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.invocation.InvocationsFinder$RemoveNotMatching.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.ArrayEquals.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.exceptions.base.StackTraceFilter.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.checkers.AtLeastXNumberOfInvocationsInOrderChecker.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.reporting.SmartPrinter.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.checkers.NumberOfInvocationsInOrderChecker.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.NoMoreInteractions.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.util.reflection.Whitebox.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.stubbing.StubberImpl.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.creation.AbstractMockitoMethodProxy.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.util.reflection.LenientCopyTool.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.configuration.DefaultAnnotationEngine.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.Contains.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.Only.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.verification.AtLeast.spectra  
  inflating: mockito/35b/jaguar/.jaguar/spectra/org.mockito.internal.matchers.StartsWith.spectra  
